FullClassifier;;;;
Lp;train score;test score balanced;test score mean
0;1.0;0.9869847543760587;0.9869706840390879
1;1.0;0.9869847543760587;0.9869706840390879
2;1.0;0.9869847543760587;0.9869706840390879
3;1.0;0.9869847543760587;0.9869706840390879
4;1.0;0.9869847543760587;0.9869706840390879
5;1.0;0.9869847543760587;0.9869706840390879
6;1.0;0.9869847543760587;0.9869706840390879
7;1.0;0.9869847543760587;0.9869706840390879
8;1.0;0.9869847543760587;0.9869706840390879
9;1.0;0.9869847543760587;0.9869706840390879
10;1.0;0.9869847543760587;0.9869706840390879
11;1.0;0.9869847543760587;0.9869706840390879
12;1.0;0.9869847543760587;0.9869706840390879
13;1.0;0.9869847543760587;0.9869706840390879
14;1.0;0.9869847543760587;0.9869706840390879
15;1.0;0.9869847543760587;0.9869706840390879
